time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T21:15:35.170Z,60.4107,-149.8311,35.1,1.9,ml,,,,1.09,ak,ak021gjq2bx9,2021-12-26T21:20:07.263Z,"8 km S of Cooper Landing, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-12-26T21:05:20.258Z,38.2106,-117.8381,1.9,1,ml,12,153.62,0.116,0.1988,nn,nn00830512,2021-12-26T21:09:29.409Z,"30 km SE of Mina, Nevada",earthquake,,3.8,1.01,5,automatic,nn,nn
2021-12-26T20:49:50.788Z,59.7475,-153.3362,124.7,1.8,ml,,,,0.42,ak,ak021gjpo7vw,2021-12-26T21:05:45.491Z,"43 km E of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-12-26T20:39:56.001Z,59.5392,-152.8184,98.1,1.8,ml,,,,0.41,ak,ak021gjpm346,2021-12-26T20:44:32.682Z,"54 km WNW of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-12-26T20:37:04.290Z,19.2501659393311,-155.399826049805,31.3899993896484,1.88,md,37,131,,0.109999999,hv,hv72847492,2021-12-26T20:40:23.680Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.5,0.75999999,0.980000019,11,automatic,hv,hv
2021-12-26T20:26:38.600Z,17.9486,-66.9895,12,2.4,md,7,217,0.0586,0.08,pr,pr2021360010,2021-12-26T20:34:54.974Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.57,0.43,0.19,7,reviewed,pr,pr
2021-12-26T20:15:09.570Z,36.1101667,-117.8501667,3.67,1.85,ml,19,53,0.008317,0.14,ci,ci39896791,2021-12-26T20:19:36.570Z,"11km NE of Coso Junction, CA",earthquake,0.26,0.38,0.252,26,automatic,ci,ci
2021-12-26T20:11:54.690Z,19.1591663360596,-155.488159179688,30.0699996948242,1.94000006,md,27,174,,0.189999998,hv,hv72847457,2021-12-26T20:15:11.720Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.84,1.51999998,1.37,8,automatic,hv,hv
2021-12-26T20:03:00.360Z,18.8075008392334,-155.182830810547,7.42000007629395,2.4000001,md,31,273,,0.200000003,hv,hv72847447,2021-12-26T20:06:29.550Z,"50 km SE of Naalehu, Hawaii",earthquake,1.13,1.07000005,0.600000024,12,automatic,hv,hv
2021-12-26T19:43:32.980Z,17.8335,-66.8755,15,2.24,md,7,259,0.1416,0.05,pr,pr2021360009,2021-12-26T20:05:50.807Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.61,1.02,0.11,5,reviewed,pr,pr
2021-12-26T19:40:05.795Z,41.9647,142.3674,69.54,4.6,mb,,127,0.59,0.9,us,us6000gfhx,2021-12-26T21:21:47.040Z,"41 km S of Shizunai-furukawachō, Japan",earthquake,7,7.7,0.06,82,reviewed,us,us
2021-12-26T19:33:34.300Z,35.9941673,-121.4708328,12,1.65,md,9,213,0.1927,0.02,nc,nc73668646,2021-12-26T20:11:11.871Z,"9km ESE of Lopez Point, CA",earthquake,0.53,1.15,0.27,6,automatic,nc,nc
2021-12-26T19:10:55.207Z,59.9002,-152.5005,88.1,2.1,ml,,,,0.5,ak,ak021gjoufnr,2021-12-26T19:15:02.964Z,"39 km WNW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T19:00:54.666Z,63.507,-151.0791,0,2,ml,,,,1.03,ak,ak021gjosahm,2021-12-26T19:13:22.492Z,"32 km E of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T18:59:02.537Z,35.1437,26.9194,10,5.6,mww,,46,1.448,1.11,us,us6000gfhq,2021-12-26T21:03:12.757Z,"30 km S of Fry, Greece",earthquake,2,1.9,0.058,29,reviewed,us,us
2021-12-26T18:44:41.465Z,-17.835,-178.5128,551.58,4.5,mb,,97,7.56,1.05,us,us6000gfhp,2021-12-26T19:27:42.040Z,"231 km E of Levuka, Fiji",earthquake,14,6.3,0.104,27,reviewed,us,us
